,store,sido,gungu,store_address
958,영오점,경상남도,고성군,경상남도 고성군 영오면 영회로 514
959,영운동점,충청북도,청주시,충청북도 청주시상당구 영운로 34-1(영운동)
960,영월삼호점,강원도,영월군,강원도 영월군 영월읍 단종로 88
961,영월점,강원도,영월군,강원도 영월군 영월읍 하송안길 114
962,영주지사, ,,
963,영천시장점,서울특별시,서대문구,서울특별시 서대문구 천연동 1 냉천동 190
964,영천점,경상북도,영천시,"경상북도 영천시 충효로 71, 1층(문외동)"
965,"영통1,경희점",경기도,수원시,"경기도 수원시영통구 영통동 1020-1, 102호"
966,영통2점,경기도,수원시,경기도 수원시영통구 영통동 955-1 황골마을1단지 상가-106
967,영해점,경상북도,영덕군,경상북도 영덕군 영해면 성내리 470-31
968,예산1점,충청남도,예산군,충청남도 예산군 예산읍 예산리 천변로 179
969,예산2점,충청남도,예산군,충청남도 예산군 예산읍 주교리 225-9
970,예천점,경상북도,예천군,경상북도 예천군 예천읍 남본리 222-2번지
971,오남리점,경기도,남양주시,경기도 남양주시 오남읍 진건오남로 626
972,오류1점,서울특별시,구로구,서울특별시 구로구 고척로1길 5 (오류동)
973,오목천점,경기도,수원시,경기도 수원시권선구 오목천동 500-1
974,오산1점,경기도,오산시,경기도 오산시 오산로 190번길 24
975,오산2점,경기도,오산시,경기도 오산시 원동 761-2
976,오성점,경기도,평택시,경기도 평택시 오성면 숙성리 137-7
977,오정점,경기도,부천시,경기도 부천시오정구 오정동 573-6
978,오크밸리점,강원도,원주시,강원도 원주시    
979,오포점,경기도,광주시,경기도 광주시 오포읍 오포로 865
980,오학점,경기도,여주시,경기도 여주시 여주읍 현암2길28-11
981,옥계점(대전),대전광역시,중구,대전광역시 중구 대종로 59(옥계동)
982,옥산점,경상북도,경산시,경상북도 경산시 성암로 10길 2-12(옥산동)
983,옥수동점,서울특별시,성동구,"서울특별시 성동구 독서당로39길 48, 1층 (옥수동)"
984,옥정점,경기도,양주시,"경기도 양주시 옥정동로 162, 율정동율정마을13단지상가"
985,옥천점(충북),충청북도,옥천군,충청북도 옥천군 옥천읍 금구리 24-6
986,옥포1점,경상남도,거제시,경상남도 거제시 옥포로 280
987,온산점,울산광역시,울주군,울산광역시 울주군 온산읍 덕신리 480-1
988,온수리점,인천광역시,강화군,인천광역시 강화군 길상면 온수리 547-1
989,온양1점,충청남도,아산시,충청남도 아산시 충무로 20번길 20
990,와룡점,대구광역시,달서구,"대구광역시 달서구 이곡동로 32, 403-106(이곡동,성서와룡타운)"
991,와수리점,강원도,철원군,강원도 철원군 서면 와수리 168-1
992,왕십리점,서울특별시,성동구,서울특별시 성동구 하왕십리2동 955-11
993,왜관점,경상북도,칠곡군,경상북도 칠곡군 왜관읍 구상길 180 삼성A104
994,외동점,경상남도,김해시,경상남도 김해시 외동 1214-2
995,요선동점,강원도,춘천시,강원도 춘천시 요선동 서부대성로48번길 24
996,용강점,경상북도,경주시,경상북도 경주시 승삼1길 6-10
997,용산점,대구광역시,달서구,대구광역시 달서구 용산동 954-11
998,용운점,대전광역시,동구,대전광역시 동구 용운동 307-11
999,용원점,경상남도,창원시,경상남도 창원시진해구 용원동 용재로29번길 5-17
1000,용인구성점,경기도,용인시,경기도 용인시기흥구 구성로 176(언남동)
1001,용전점,대전광역시,동구,"대전광역시 동구 계족로 481(용전동, 1층)"
1002,용현1호점,인천광역시,남구,인천광역시 남구 인하로91번길 20
1003,용현2호점,인천광역시,남구,인천광역시 남구 낙섬중로 11(용현동)
1004,용현점,경기도,의정부시,"경기도 의정부시 충의로57번길 7-3(용현동, 1층)"
1005,용호점,부산광역시,남구,"부산광역시 남구 용호로42번길 104(용호동,1층)"
1006,용화점,충청남도,아산시,"충청남도 아산시 용화동 694, 101호"
1007,우만.지동점,경기도,수원시,경기도 수원시팔달구 우만동 469-15  1층
1008,우면동점,서울특별시,서초구,"서울특별시 서초구 바우뫼로7길 11, 1층 106호(우면동,우면아파트상가)"
1009,우성점,충청남도,천안시,충청남도 천안시서북구 직산읍 자은가리1길 68  
1010,우암점,충청북도,청주시,충청북도 청주시상당구 향군로 20(우암점)
1011,우천점,강원도,횡성군,강원도 횡성군 우천면 수남로 333
1012,운남삼성점,광주광역시,광산구,광주광역시 광산구 운남동 387-22번지 삼성@ 상가 127호
1013,운정1점,경기도,파주시,"경기도 파주시 미래로 603, 상가동 203호(목동동)"
1014,운정2점,경기도,파주시,경기도 파주시 교하읍 동패로 115 상가동116호
1015,운천점,경기도,포천시,경기도 포천시 영북면 운천로 10
1016,운천한화점,경기도,포천시,경기도 포천시 영북면 산정리 454-4
1017,울산신정1점,울산광역시,남구,울산광역시 남구 신정동 521-19
1018,원곡동점,경기도,안산시,"경기도 안산시단원구 화랑로 92, 101(원곡동, 복원연립가동)"
1019,원남점,경상북도,울진군,경상북도 울진군 매화면 매화리 1165-17
1020,원동일산점,강원도,원주시,"강원도 원주시 무실로 96, 1층 (일산동)"
1021,원미1점,경기도,부천시,경기도 부천시원미구 원미로 89-1(원미동)
